Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 8748,0,0.2765843,16.20510539379085,5.840643038017,21.140955683215644,0.10275430447510675
Java(TM) Platform SE binary 7208,200,5.914882499999999,15.29098741401921,126.02081696564399,21.314453233734895,3.5746043141647745
Java(TM) Platform SE binary 9156,400,11.2232726,15.303816193927949,240.45810576028103,21.425784385157215,1.8053086052810954
Java(TM) Platform SE binary 3536,600,17.167598199999997,15.267199400297507,346.09911219856286,20.236726728889845,23.346108782690663
Java(TM) Platform SE binary 3460,800,22.066775999999994,15.02591263204361,451.67240039941817,20.55189252013988,31.509161862987686
Java(TM) Platform SE binary 6100,1000,26.597127799999996,15.069338359349437,577.1552390073693,21.70928880416395,12.782451977050108
