Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 9312,0,0.3221466,18.589284998346415,7.098474888792,22.043610312940782,0.13762805596822603
Java(TM) Platform SE binary 8548,160,5.1387132,14.985653334259009,97.92578464444595,19.07836313981328,2.490566841431622
Java(TM) Platform SE binary 10912,320,9.8920788,14.479191265245946,192.1858291686261,19.42879435832609,1.4833883464130662
Java(TM) Platform SE binary 11040,480,14.203957200000008,14.713689172902734,282.4212063817141,19.894169488979546,9.143490132996064
Java(TM) Platform SE binary 6836,640,20.01391540000002,14.70170378741728,394.68573671644987,19.721048458904082,5.022986134365525
Java(TM) Platform SE binary 5364,800,25.342253199999995,14.289515176550536,455.6701756775501,18.04218388048574,41.618663470045576
