Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 11064,0,0.32004350000000004,18.738090491287984,7.077327930306,22.116559318198856,0.0812158295283355
Java(TM) Platform SE binary 11144,2,0.3385654,19.46568324873328,7.738369049589999,22.857411531742553,0.11390075514433144
Java(TM) Platform SE binary 7480,4,0.3998877,19.85853629068238,9.330489981657001,23.334956903261272,0.06297870416024735
Java(TM) Platform SE binary 7480,6,0.4591445,19.219584347515305,10.610371637227999,23.11017479970377,0.10059225238497338
Java(TM) Platform SE binary 10792,8,0.5398238,18.6437222568726,11.422027566779999,21.235385902134354,0.527389321342114
Java(TM) Platform SE binary 8500,10,0.6042409999999999,19.361905907440256,13.271780959560001,22.109798163192053,0.6490489070733956
