Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 9528,0,0.34124940000000004,18.72027531648936,6.68894533483,19.6226736546521,0.21949377515162766
Java(TM) Platform SE binary 6652,40,1.5408190000000004,14.895283734016141,28.613769286736,18.56950790104336,1.3260038045190827
Java(TM) Platform SE binary 7240,80,2.829934,14.380216798020282,49.29789057176601,17.44381252430332,2.2621513597208933
Java(TM) Platform SE binary 4004,120,4.143433600000001,14.663479952072048,74.992378998848,18.11371832525153,3.3892006577583644
Java(TM) Platform SE binary 9480,160,5.141259400000001,14.776763808911504,97.52078494129,18.99963990825088,3.7792382100440314
Java(TM) Platform SE binary 6764,200,6.728809399999999,14.405394592034822,114.11663500117402,16.980327765190392,5.303760793060859
