Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 4768,0,0.27457560000000003,17.164879941525186,5.879501742326,21.417566584384545,0.08323774537786048
Java(TM) Platform SE binary 1072,20,0.8996573999999998,15.639689090033853,18.266547852748,20.30400394726848,0.11371619219420226
Java(TM) Platform SE binary 5864,40,1.5304259999999998,14.929006516553923,29.941689611942007,19.56519204219934,0.4625739411803257
Java(TM) Platform SE binary 9944,60,2.0662929999999995,14.701871088562276,40.606765302198006,19.653243863418783,0.6141542626375114
Java(TM) Platform SE binary 2308,80,2.7394685999999995,14.409364622930054,52.91646955348603,19.317504058726186,0.3886562888955742
Java(TM) Platform SE binary 228,100,3.321585999999998,15.260326004551546,65.80818687710006,19.815469212430354,1.4547877668674534
