Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 4684,0,0.3313648,18.870489291666665,6.745320606729999,20.391448894718497,0.258899104081327
Java(TM) Platform SE binary 10388,80,2.803646,14.64604730688788,51.77668173984198,18.47954428807236,1.9660116729655812
Java(TM) Platform SE binary 10428,160,5.146670800000002,14.88378291246496,97.35918331495996,18.936099562131545,2.8504262968855376
Java(TM) Platform SE binary 6908,240,7.605406799999998,14.872561536430048,148.43678994330793,19.516563902518342,2.2386323180457954
Java(TM) Platform SE binary 7512,320,9.909521799999997,14.546151664298769,193.87361174214413,19.56485194658724,1.5668711675199871
Java(TM) Platform SE binary 5060,400,12.033713599999997,14.558568717485684,237.86261292525205,19.770394179374605,3.6797783997588134
