Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 5356,0,0.33474100000000007,18.92706399465386,6.676340123402,19.973608670239955,0.2045448618050191
Java(TM) Platform SE binary 4704,40,1.4968010000000005,15.663678988271927,27.328032620059997,18.280670039728438,0.474294979646716
Java(TM) Platform SE binary 1200,80,2.8102692,14.875467096857102,49.68316685700201,17.698966423005476,1.4331161546296052
Java(TM) Platform SE binary 9864,120,3.9127650000000007,14.888069336487112,73.56300457870195,18.810296150084884,2.0964651222385773
Java(TM) Platform SE binary 5936,160,5.1759438,14.93246891938342,95.900254174638,18.532301460076116,0.8530644135764691
Java(TM) Platform SE binary 7136,200,6.821852800000001,14.493294513376998,111.540301183842,16.385354964383843,5.236578571186959
