Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 4088,0,0.3322986,18.76976589800503,6.7723927172159994,20.463450728842968,0.2769593259593738
Java(TM) Platform SE binary 10744,120,4.100273800000001,15.18749494119991,72.44222646610798,17.680040863281867,3.655182974453382
Java(TM) Platform SE binary 4284,240,7.6292588,14.9637592961515,143.59730778762798,18.83695605935353,8.41957456259451
Java(TM) Platform SE binary 5416,360,10.994136800000001,14.781978384012028,199.48923901456786,18.221294911261325,20.27686260722482
Java(TM) Platform SE binary 8476,480,15.15539379999999,14.566579410186634,235.0677500742481,15.520464584043122,5.307207947240071
Java(TM) Platform SE binary 2976,600,18.526098200000003,14.326216127560954,323.9864255171859,17.530004236968765,28.65981557981302
