Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 2300,0,0.3286472,18.681252841936775,6.570559062678001,20.019120453298612,0.14002006774902825
Java(TM) Platform SE binary 10004,160,5.321375399999997,14.539734105589726,87.29609907244802,16.413128820106465,5.954758121236665
Java(TM) Platform SE binary 11228,320,9.956094000000002,14.293471983822613,198.14320434558587,19.902161276428995,0.7106111550312254
Java(TM) Platform SE binary 5132,480,14.502816200000002,14.511294708428844,291.26477292612793,20.09139947558068,10.657769207663687
Java(TM) Platform SE binary 10504,640,19.947929200000004,14.662202316474625,397.76860064320624,19.940537877900514,3.531442880825232
Java(TM) Platform SE binary 224,800,23.851528800000008,14.438371798041887,474.6678030102937,19.902624749192178,21.61250290334925
