Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 4868,0,0.39003080000000007,18.590983587741686,6.010977191944001,15.416489138779314,0.15045040567604795
Java(TM) Platform SE binary 4700,80,3.144065800000001,14.504931042875967,42.53904454458598,13.674156236168614,2.3587255804447547
Java(TM) Platform SE binary 10576,160,5.261452599999999,14.858015562526107,86.45246090149803,16.431391782534337,0.6539489066878451
Java(TM) Platform SE binary 7836,240,7.748530599999996,14.630185963176121,123.04300956161399,15.905733927200126,4.883981447851584
Java(TM) Platform SE binary 10656,320,10.020013800000006,14.352208601084001,184.64879039417602,18.477705284793988,16.13896581992835
Java(TM) Platform SE binary 6868,400,12.179939000000008,14.532057577458753,240.275210620192,19.727285360194006,1.2857183632403468
