Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 6980,0,0.32773019999999997,18.768611404434846,7.171453302941999,21.88310455582101,0.169069392718071
Java(TM) Platform SE binary 10692,120,4.0543396,14.64502790475699,74.499798774652,18.38301214733376,2.0598291484702176
Java(TM) Platform SE binary 1244,240,7.6693370000000005,14.699581933483827,144.84594218424598,18.892290600922472,3.286567233973468
Java(TM) Platform SE binary 364,360,11.14442660000001,14.603709279619428,214.9104469901521,19.28474444402479,3.242229879608999
Java(TM) Platform SE binary 6772,480,14.587851199999996,14.472854559820341,280.2280012713702,19.213626695489186,4.261853555508695
Java(TM) Platform SE binary 6964,600,18.600816999999978,14.16527498635334,355.74424228493785,19.12967719787964,4.142597841394067
