Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 2164,0,0.3353068,17.87075132505176,6.566641305315,19.59947907265407,0.07808561141784665
Java(TM) Platform SE binary 9200,200,6.304491100000001,15.019675464996194,111.96202295705898,17.771322396165843,4.633403934757957
Java(TM) Platform SE binary 5404,400,11.1423062,14.992702121799583,242.679201904195,21.787455243859295,5.195972861577265
Java(TM) Platform SE binary 5348,600,16.675354300000002,14.909135273534266,359.9166287204358,21.583286084244,5.439301396258572
Java(TM) Platform SE binary 1308,800,22.479540999999994,15.080386234681264,454.95980774323874,20.320447291444964,30.937210077464798
Java(TM) Platform SE binary 6168,1000,27.0000092,14.822341566320507,566.8988605825509,21.008163620520772,45.99024178304585
