Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 10752,0,0.3163159,18.78233752259577,7.209171435458999,22.796010786651774,0.10513459662930284
Java(TM) Platform SE binary 7604,2,0.3357421,19.506880745346137,7.938081908566,23.644850505852087,0.04563563449131002
Java(TM) Platform SE binary 11012,4,0.40462200000000004,19.625810742214256,9.463066425604001,23.427476618969973,0.20341987024358046
Java(TM) Platform SE binary 11148,6,0.464184,19.18499926965604,10.444643270484999,22.563076439932004,0.3693789321218204
Java(TM) Platform SE binary 10012,8,0.5356488,18.76407594387453,11.779565317754,22.036264809944605,0.4076818329523674
Java(TM) Platform SE binary 7436,10,0.5996329,19.27187880554702,13.529845016187998,22.599705972597913,0.47605777534740545
