Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 10104,0,0.316866,18.733924224018875,7.246895010569999,22.874653286585854,0.08171152050823906
Java(TM) Platform SE binary 756,20,0.8689907999999998,17.087150284691266,18.520123169034,21.316034600953582,0.40563043938451454
Java(TM) Platform SE binary 3552,40,1.4988523999999996,15.477169073043678,30.394511891052005,20.278868393383906,0.17839872641145765
Java(TM) Platform SE binary 6728,60,2.0827742,15.136530170009483,42.03502046432399,20.18255509042256,0.24810912943692945
Java(TM) Platform SE binary 4004,80,2.7391502,14.721194069833334,54.94216517070599,20.05854602352995,0.19608922271111423
Java(TM) Platform SE binary 8960,100,3.3167060000000004,15.418019435537264,68.06241143242403,20.52115227293062,0.29777892329689565
