Marca temporal,Who extracted the data?,Tool name,Brief description,Official webpage (URL),Main reference (DOI or URL to the paper),Which SPL phases support the tool?,Type of tool,Date of the first release/publication/development/paper,Date of the last update,Is the tool under active development?,Is the tool available online to download/use?,Is the tool working well and/or usable?,Is it a stand-alone tool?,The tool has been integrated within other tools. Which ones?
11/02/2019 16:28:39,José Miguel,PLUSEE,,,,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,1/01/2004,,,No,,,
11/02/2019 16:30:11,José Miguel,XML-Based Feature Model,,,https://link.springer.com/chapter/10.1007/978-3-540-27799-6_9,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2004,,,No,,,
11/02/2019 16:33:36,José Miguel,AHEAD,An architectural model for feature oriented programming and a basis for large-scale compositional programming.,http://www.cs.utexas.edu/users/schwartz/ATS.html,https://ieeexplore.ieee.org/document/1321059,Domain Implementation (DI),Academic,1/01/2004,1/03/2013,No,Yes,Yes,,
11/02/2019 16:36:12,José Miguel,XVCL,,,https://www.sciencedirect.com/science/article/pii/S0167642304000978,Domain Implementation (DI),,1/12/2004,,,No,,,
11/02/2019 16:38:44,José Miguel,BVR: Base-Variation-Resolution,,,http://www.shakari.no/08-Shakari.pdf,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,1/01/2006,,,No,,,
11/02/2019 16:40:27,José Miguel,Scatter Tool,,,https://ieeexplore.ieee.org/document/4339262,"Domain Analysis (DA), Requirements Analysis (RA)",,14/09/2007,,,No,,,
11/02/2019 16:42:53,José Miguel,VMWT,,,,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,1/01/2007,,,No,,,
11/02/2019 16:44:30,José Miguel,L K C - Feature Modeling Tool,The Linux Kernel Configurator as a Feature Modeling Tool,,,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2008,,,No,,,
11/02/2019 16:46:05,José Miguel,PLUM,,,https://www.semanticscholar.org/paper/Towards-a-Model-Driven-Product-Line-for-Web-systems-Martinez-L%C3%B3pez/660ae6b793d86d57c5eac38c3aeeb20b75c2e526,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,1/01/2009,,,No,,,
11/02/2019 16:47:59,José Miguel,MUSA,,,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_55,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2010,,,No,,,
11/02/2019 16:49:54,José Miguel,XToF,A Tool for Tag-based Product Line Implementation,,https://pdfs.semanticscholar.org/61bf/3541d0968095844bd0b1b52d3401a136479f.pdf,Domain Implementation (DI),,1/01/2010,,,No,,,
11/02/2019 16:52:08,José Miguel,ToolDay,,,https://link.springer.com/article/10.1007/s10009-010-0174-6,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,1/01/2011,,,No,,,
11/02/2019 16:56:37,José Miguel,View Infinity,"With View Infinity developers can explore an SPL from its feature model down to its implementation. It offers visualization facilities on three layers of abstraction: feature model, file structure, and source code.",http://fosd.de/vi,https://ieeexplore.ieee.org/document/6032584,Domain Implementation (DI),,28/05/2011,,No,Yes,Yes,Yes,
11/02/2019 17:05:03,José Miguel,FAMILIAR,FeAture Model scrIpt Language for manIpulation and Automatic Reasoning (FAMILIAR) is an executable language that supports manipulating and reasoning about feature models,https://familiar-project.github.io/,https://dl.acm.org/citation.cfm?id=1944903,"Domain Analysis (DA), Requirements Analysis (RA)",Academic,1/01/2011,16/04/2018,,Yes,,Yes,
11/02/2019 17:08:04,José Miguel,ISMT4SPL,,,https://ieeexplore.ieee.org/document/6211152,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",CASE Tool,1/06/2012,,,No,,,
11/02/2019 17:10:21,José Miguel,Betty,,http://www.isa.us.es/fama/?BeTTy_Framework,https://dl.acm.org/citation.cfm?id=2110155,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2012,,,No,,,
11/02/2019 17:12:04,José Miguel,MOSKitt4SPL,An open-source tool for analysing and designing Dynamic Software Product Lines,http://www.pros.webs.upv.es/moskitt4spl/,http://hdl.handle.net/11705/JISBD/2012/054,Domain Analysis (DA),Academic,01/06/2008,1/01/2012,,No,,,
11/02/2019 17:19:35,José Miguel,Easy-Producer,,https://projects.sse.uni-hildesheim.de/easy/,https://dl.acm.org/citation.cfm?id=2655979,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,19/09/2014,11/02/2019,Yes,Yes,Yes,,
11/02/2019 17:21:40,José Miguel,OPTI-SELECT,,,https://dl.acm.org/citation.cfm?id=2655977,"Domain Analysis (DA), Requirements Analysis (RA)",,19/09/2014,,,No,,,
11/02/2019 17:25:41,José Miguel,MPLM-MaTeLo product line manager,,http://people.irisa.fr/Hamza.Samih/mplm,https://dl.acm.org/citation.cfm?id=2655980,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,19/09/2014,,,Yes,,,
11/02/2019 17:27:11,José Miguel,VITAL,,,https://dl.acm.org/citation.cfm?id=2660190.2662113,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,14/09/2014,,,No,,,
11/02/2019 17:29:25,José Miguel,ViViD,,https://github.com/ViViD-DiverSE/,https://dl.acm.org/citation.cfm?id=2647908.2655981,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI)",,19/09/2014,3/12/2014,No,Yes,,,
11/02/2019 17:31:28,José Miguel,VMC,,,https://dl.acm.org/citation.cfm?doid=2647908.2655969,"Domain Analysis (DA), Requirements Analysis (RA)",,19/09/2014,,,No,,,
11/02/2019 17:33:28,José Miguel,WebFML,,https://github.com/FAMILIAR-project/familiar-documentation/tree/master/manual/webfml,https://dl.acm.org/citation.cfm?id=2655974,"Domain Analysis (DA), Requirements Analysis (RA)",,19/09/2014,,,No,,,
12/02/2019 10:28:50,José Miguel,AspectJ,A seamless aspect-oriented extension to the Java programming language,https://www.eclipse.org/aspectj/,https://link.springer.com/chapter/10.1007/BFb0053381,"Domain Implementation (DI), Product Derivation (PD)",Academic,1/08/2001,1/10/2018,Yes,Yes,Yes,Yes,FeatureIDE
12/02/2019 10:30:57,José Miguel,ConcernMapper,"Feature mapping and tracing tool, targeted at arbitrary concerns in general software development.",https://www.cs.mcgill.ca/~martin/cm/,https://dl.acm.org/citation.cfm?doid=1117696.1117710,"Domain Analysis (DA), Domain Implementation (DI)",Academic,1/01/2005,1/11/2008,No,Yes,No,No,
12/02/2019 10:33:01,José Miguel,FeatureC++,It is a C++ language extension to support Feature-Oriented Programming by expressing features in a modular way,http://wwwiti.cs.uni-magdeburg.de/iti_db/forschung/fop/featurec/,,Domain Implementation (DI),Academic,1/04/2005,1/03/2010,No,Yes,Yes,Yes,FeatureIDE
12/02/2019 10:34:40,José Miguel,Feature Model DSL,Feature Model DSL makes it possible for you to design and configure feature models using Visual Studio. It is developed using the Microsoft DSL Tools.,https://archive.codeplex.com/?p=FeatureModelDSL,,"Domain Analysis (DA), Requirements Analysis (RA)",Academic,1/01/2008,1/01/2016,,Yes,,No,
